agent,dirt_rate,performance
simple_reflective,"0,1",0
random,"0,1",10
simple_reflective,"0,1",109
random,"0,1",9
simple_reflective,"0,1",89
random,"0,1",12
simple_reflective,"0,1",88
random,"0,1",7
simple_reflective,"0,1",105
random,"0,1",8
simple_reflective,"0,1",80
random,"0,1",13
simple_reflective,"0,1",93
random,"0,1",9
simple_reflective,"0,1",87
random,"0,1",18
simple_reflective,"0,1",74
random,"0,1",10
simple_reflective,"0,1",87
random,"0,1",11
,,
simple_reflective,"0,2",138
random,"0,2",16
simple_reflective,"0,2",163
random,"0,2",26
simple_reflective,"0,2",146
random,"0,2",18
simple_reflective,"0,2",167
random,"0,2",17
simple_reflective,"0,2",173
random,"0,2",20
simple_reflective,"0,2",27
random,"0,2",24
simple_reflective,"0,2",170
random,"0,2",17
simple_reflective,"0,2",169
random,"0,2",17
simple_reflective,"0,2",140
random,"0,2",16
simple_reflective,"0,2",25
random,"0,2",23
,,
simple_reflective,"0,4",284
random,"0,4",37
simple_reflective,"0,4",2
random,"0,4",43
simple_reflective,"0,4",292
random,"0,4",39
simple_reflective,"0,4",306
random,"0,4",42
simple_reflective,"0,4",288
random,"0,4",31
simple_reflective,"0,4",284
random,"0,4",38
simple_reflective,"0,4",284
random,"0,4",38
simple_reflective,"0,4",301
random,"0,4",39
simple_reflective,"0,4",285
random,"0,4",37
simple_reflective,"0,4",280
random,"0,4",33
,,
simple_reflective,"0,8",457
random,"0,8",71
simple_reflective,"0,8",454
random,"0,8",75
simple_reflective,"0,8",461
random,"0,8",73
simple_reflective,"0,8",440
random,"0,8",78
simple_reflective,"0,8",446
random,"0,8",75
simple_reflective,"0,8",241
random,"0,8",63
simple_reflective,"0,8",457
random,"0,8",94
simple_reflective,"0,8",264
random,"0,8",75
simple_reflective,"0,8",437
random,"0,8",86
simple_reflective,"0,8",462
random,"0,8",75
