agent,dirt_rate,performance
simple_reflective,"0,1",1
random,"0,1",1
simple_reflective,"0,1",1
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",1
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
simple_reflective,"0,1",0
random,"0,1",1
,,
simple_reflective,"0,2",1
random,"0,2",3
simple_reflective,"0,2",1
random,"0,2",3
simple_reflective,"0,2",2
random,"0,2",3
simple_reflective,"0,2",3
random,"0,2",3
simple_reflective,"0,2",1
random,"0,2",3
simple_reflective,"0,2",0
random,"0,2",3
simple_reflective,"0,2",2
random,"0,2",3
simple_reflective,"0,2",1
random,"0,2",3
simple_reflective,"0,2",1
random,"0,2",3
simple_reflective,"0,2",2
random,"0,2",3
,,
simple_reflective,"0,4",0
random,"0,4",6
simple_reflective,"0,4",6
random,"0,4",6
simple_reflective,"0,4",2
random,"0,4",6
simple_reflective,"0,4",2
random,"0,4",6
simple_reflective,"0,4",2
random,"0,4",6
simple_reflective,"0,4",5
random,"0,4",6
simple_reflective,"0,4",4
random,"0,4",6
simple_reflective,"0,4",5
random,"0,4",5
simple_reflective,"0,4",1
random,"0,4",6
simple_reflective,"0,4",3
random,"0,4",6
,,
simple_reflective,"0,8",9
random,"0,8",12
simple_reflective,"0,8",6
random,"0,8",12
simple_reflective,"0,8",11
random,"0,8",12
simple_reflective,"0,8",12
random,"0,8",12
simple_reflective,"0,8",9
random,"0,8",12
simple_reflective,"0,8",1
random,"0,8",12
simple_reflective,"0,8",2
random,"0,8",12
simple_reflective,"0,8",11
random,"0,8",12
simple_reflective,"0,8",6
random,"0,8",12
simple_reflective,"0,8",5
random,"0,8",12
