agent,dirt_rate,performance
simple_reflective,"0,1",4
random,"0,1",9
simple_reflective,"0,1",16
random,"0,1",6
simple_reflective,"0,1",9
random,"0,1",8
simple_reflective,"0,1",24
random,"0,1",8
simple_reflective,"0,1",3
random,"0,1",7
simple_reflective,"0,1",17
random,"0,1",7
simple_reflective,"0,1",16
random,"0,1",5
simple_reflective,"0,1",23
random,"0,1",7
simple_reflective,"0,1",25
random,"0,1",7
simple_reflective,"0,1",17
random,"0,1",11
,,
simple_reflective,"0,2",3
random,"0,2",16
simple_reflective,"0,2",36
random,"0,2",24
simple_reflective,"0,2",35
random,"0,2",18
simple_reflective,"0,2",1
random,"0,2",17
simple_reflective,"0,2",33
random,"0,2",20
simple_reflective,"0,2",50
random,"0,2",15
simple_reflective,"0,2",29
random,"0,2",11
simple_reflective,"0,2",14
random,"0,2",16
simple_reflective,"0,2",49
random,"0,2",22
simple_reflective,"0,2",13
random,"0,2",24
,,
simple_reflective,"0,4",65
random,"0,4",32
simple_reflective,"0,4",101
random,"0,4",30
simple_reflective,"0,4",52
random,"0,4",35
simple_reflective,"0,4",60
random,"0,4",32
simple_reflective,"0,4",7
random,"0,4",36
simple_reflective,"0,4",70
random,"0,4",28
simple_reflective,"0,4",25
random,"0,4",32
simple_reflective,"0,4",30
random,"0,4",22
simple_reflective,"0,4",83
random,"0,4",28
simple_reflective,"0,4",87
random,"0,4",36
,,
simple_reflective,"0,8",200
random,"0,8",68
simple_reflective,"0,8",199
random,"0,8",88
simple_reflective,"0,8",84
random,"0,8",72
simple_reflective,"0,8",195
random,"0,8",79
simple_reflective,"0,8",156
random,"0,8",59
simple_reflective,"0,8",189
random,"0,8",79
simple_reflective,"0,8",61
random,"0,8",54
simple_reflective,"0,8",190
random,"0,8",63
simple_reflective,"0,8",20
random,"0,8",77
simple_reflective,"0,8",74
random,"0,8",71
