agent,dirt_rate,performance
,,
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
simple_reflective,"0,1",0
random,"0,1",0
,,
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
simple_reflective,"0,2",0
random,"0,2",0
,,
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",0
random,"0,4",1
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",0
random,"0,4",1
simple_reflective,"0,4",0
random,"0,4",1
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",1
random,"0,4",1
simple_reflective,"0,4",0
random,"0,4",1
,,
simple_reflective,"0,8",1
random,"0,8",3
simple_reflective,"0,8",1
random,"0,8",3
simple_reflective,"0,8",2
random,"0,8",3
simple_reflective,"0,8",1
random,"0,8",3
simple_reflective,"0,8",1
random,"0,8",3
simple_reflective,"0,8",1
random,"0,8",3
simple_reflective,"0,8",3
random,"0,8",3
simple_reflective,"0,8",2
random,"0,8",3
simple_reflective,"0,8",3
random,"0,8",3
simple_reflective,"0,8",3
random,"0,8",3
