agent,dirt_rate,performance
simple_reflective,"0,1",54
random,"0,1",10
simple_reflective,"0,1",91
random,"0,1",10
simple_reflective,"0,1",98
random,"0,1",4
simple_reflective,"0,1",94
random,"0,1",10
simple_reflective,"0,1",13
random,"0,1",7
simple_reflective,"0,1",85
random,"0,1",7
simple_reflective,"0,1",92
random,"0,1",6
simple_reflective,"0,1",72
random,"0,1",9
simple_reflective,"0,1",50
random,"0,1",7
simple_reflective,"0,1",68
random,"0,1",10
,,
simple_reflective,"0,2",125
random,"0,2",25
simple_reflective,"0,2",51
random,"0,2",26
simple_reflective,"0,2",122
random,"0,2",26
simple_reflective,"0,2",8
random,"0,2",20
simple_reflective,"0,2",42
random,"0,2",21
simple_reflective,"0,2",79
random,"0,2",24
simple_reflective,"0,2",1
random,"0,2",26
simple_reflective,"0,2",42
random,"0,2",29
simple_reflective,"0,2",166
random,"0,2",17
simple_reflective,"0,2",164
random,"0,2",19
,,
simple_reflective,"0,4",17
random,"0,4",40
simple_reflective,"0,4",228
random,"0,4",32
simple_reflective,"0,4",297
random,"0,4",49
simple_reflective,"0,4",291
random,"0,4",42
simple_reflective,"0,4",164
random,"0,4",42
simple_reflective,"0,4",207
random,"0,4",29
simple_reflective,"0,4",54
random,"0,4",39
simple_reflective,"0,4",148
random,"0,4",36
simple_reflective,"0,4",286
random,"0,4",27
simple_reflective,"0,4",294
random,"0,4",25
,,
simple_reflective,"0,8",368
random,"0,8",79
simple_reflective,"0,8",448
random,"0,8",76
simple_reflective,"0,8",455
random,"0,8",81
simple_reflective,"0,8",468
random,"0,8",69
simple_reflective,"0,8",236
random,"0,8",78
simple_reflective,"0,8",450
random,"0,8",81
simple_reflective,"0,8",273
random,"0,8",85
simple_reflective,"0,8",451
random,"0,8",89
simple_reflective,"0,8",461
random,"0,8",73
simple_reflective,"0,8",452
random,"0,8",74
