agent,dirt_rate,performance
simple_reflective,"0,1",2
random,"0,1",4
simple_reflective,"0,1",1
random,"0,1",6
simple_reflective,"0,1",5
random,"0,1",6
simple_reflective,"0,1",1
random,"0,1",6
simple_reflective,"0,1",5
random,"0,1",6
simple_reflective,"0,1",6
random,"0,1",4
simple_reflective,"0,1",0
random,"0,1",4
simple_reflective,"0,1",3
random,"0,1",4
simple_reflective,"0,1",5
random,"0,1",6
simple_reflective,"0,1",6
random,"0,1",4
,,
simple_reflective,"0,2",2
random,"0,2",10
simple_reflective,"0,2",10
random,"0,2",10
simple_reflective,"0,2",8
random,"0,2",9
simple_reflective,"0,2",11
random,"0,2",9
simple_reflective,"0,2",7
random,"0,2",10
simple_reflective,"0,2",12
random,"0,2",11
simple_reflective,"0,2",8
random,"0,2",12
simple_reflective,"0,2",5
random,"0,2",8
simple_reflective,"0,2",8
random,"0,2",9
simple_reflective,"0,2",8
random,"0,2",9
,,
simple_reflective,"0,4",21
random,"0,4",22
simple_reflective,"0,4",13
random,"0,4",20
simple_reflective,"0,4",9
random,"0,4",22
simple_reflective,"0,4",14
random,"0,4",20
simple_reflective,"0,4",14
random,"0,4",20
simple_reflective,"0,4",7
random,"0,4",17
simple_reflective,"0,4",9
random,"0,4",21
simple_reflective,"0,4",6
random,"0,4",21
simple_reflective,"0,4",19
random,"0,4",20
simple_reflective,"0,4",0
random,"0,4",18
,,
simple_reflective,"0,8",2
random,"0,8",43
simple_reflective,"0,8",39
random,"0,8",42
simple_reflective,"0,8",23
random,"0,8",42
simple_reflective,"0,8",32
random,"0,8",44
simple_reflective,"0,8",36
random,"0,8",44
simple_reflective,"0,8",37
random,"0,8",43
simple_reflective,"0,8",37
random,"0,8",42
simple_reflective,"0,8",50
random,"0,8",42
simple_reflective,"0,8",9
random,"0,8",44
simple_reflective,"0,8",11
random,"0,8",41
